Temperature,Humidity,Pressure,prediction
9.472222222,0.89,1015.13,rain
9.355555556,0.89,1015.63,rain
9.377777778,0.89,1015.94,rain
8.288888889,0.89,1016.41,rain
8.755555556,0.89,1016.51,rain
9.222222222,0.89,1016.66,rain
7.733333333,0.89,1016.72,rain
8.772222222,0.89,1016.84,rain
10.82222222,0.89,1017.37,rain
13.77222222,0.89,1017.22,rain
16.01666667,0.89,1017.42,rain
17.14444444,0.89,1017.74,rain
17.8,0.89,1017.59,rain
17.33333333,0.89,1017.48,rain
18.87777778,0.89,1017.17,rain
18.91111111,0.89,1016.47,rain
15.38888889,0.89,1016.15,rain
15.55,0.89,1016.17,rain
14.25555556,0.89,1015.82,rain
13.14444444,0.89,1015.83,rain
11.55,0.89,1015.85,rain
11.18333333,0.89,1015.77,rain
10.11666667,0.89,1015.4,rain
10.2,0.89,1015.51,rain
10.42222222,0.89,1014.4,rain
9.911111111,0.89,1014.2,rain
11.18333333,0.89,1008.71,rain
7.155555556,0.89,1014.47,rain
6.111111111,0.89,1014.45,rain
6.788888889,0.89,1014.49,rain
7.261111111,0.89,1014.52,rain
7.8,0.89,1014.16,rain
9.872222222,0.89,1014.24,rain
12.22222222,0.89,1014.25,rain
15.09444444,0.89,1013.96,rain
17.35555556,0.89,1013.85,rain
19.00555556,0.89,1013.04,rain
20.04444444,0.89,1012.22,rain
21.05,0.89,1011.44,rain
21.18333333,0.89,1010.52,rain
20.11666667,0.89,1009.83,rain
20.21666667,0.89,1009.26,rain
20,0.89,1008.76,rain
17.8,0.89,1008.36,rain
16.06111111,0.89,1008.11,rain
15.02222222,0.89,1008.15,rain
14.42222222,0.89,1007.85,rain
14.25555556,0.89,1007.89,rain
13.77222222,0.89,1007.36,rain
13.28333333,0.89,1007.26,rain
8.633333333,0.89,1005.1,rain
11.25,0.89,1007.01,rain
11.18333333,0.89,1006.73,rain
10.69444444,0.89,1006.59,rain
11.11111111,0.89,1006.34,rain
11.11111111,0.89,1006.09,rain
12.16666667,0.89,1005.97,rain
12.75555556,0.89,1005.63,rain
13.83888889,0.89,1005.83,rain
16.18333333,0.89,1005.97,rain
17.51666667,0.89,1005.64,rain
17.38333333,0.89,1005.2,rain
17.36111111,0.89,1005.1,rain
17.20555556,0.89,1004.65,rain
15.63333333,0.89,1004.04,rain
13.57777778,0.89,1004.08,rain
10.91111111,0.89,1004.61,rain
8.8,0.89,1004.99,rain
8.961111111,0.89,1004.85,rain
8.2,0.89,1004.96,rain
7.688888889,0.89,1005.14,rain
7.766666667,0.89,1005.05,rain
8.2,0.89,1004.8,rain
8.177777778,0.89,1004.89,rain
7.311111111,0.89,1007,rain
7.644444444,0.89,1004.3,rain
6.622222222,0.89,1003.68,rain
6.683333333,0.89,1003.86,rain
6.088888889,0.89,1003.57,rain
6.066666667,0.89,1003.96,rain
6.144444444,0.89,1004.1,rain
7.133333333,0.89,1004.26,rain
7.205555556,0.89,1004.18,rain
7.566666667,0.89,1004.23,rain
8.9,0.89,1004.47,rain
9.961111111,0.89,1004.52,rain
9.888888889,0.89,1004.29,rain
11.06666667,0.89,1003.93,rain
10.11666667,0.89,1004,rain
11.03888889,0.89,1004.3,rain
10.65,0.89,1004,rain
10.05,0.89,1004.39,rain
